node_id,tweet_id,pub_time
96102.0,892477888301236226,2017-08-01 20:11:24
96103.0,892478641317216256,2017-08-01 20:14:24
96104.0,892478897627025408,2017-08-01 20:15:25
96105.0,892479001805156353,2017-08-01 20:15:50
96106.0,892480572299386880,2017-08-01 20:22:04
96107.0,892480572299386880,2017-08-01 20:22:04
96108.0,892481615472975872,2017-08-01 20:26:13
96109.0,892481997721022465,2017-08-01 20:27:44
96110.0,892482111889788928,2017-08-01 20:28:11
96111.0,892483494974074880,2017-08-01 20:33:41
96112.0,892483494974074880,2017-08-01 20:33:41
96113.0,892483494974074880,2017-08-01 20:33:41
96114.0,892490377936162820,2017-08-01 21:01:02
96115.0,892490377936162820,2017-08-01 21:01:02
96116.0,892491241614659584,2017-08-01 21:04:28
96117.0,892516443115409412,2017-08-01 22:44:36
96118.0,892516581720371205,2017-08-01 22:45:09
96119.0,892516581720371205,2017-08-01 22:45:09
96120.0,892516682207567872,2017-08-01 22:45:33
96121.0,892516691158106113,2017-08-01 22:45:35
96122.0,892516707142651904,2017-08-01 22:45:39
96123.0,892516722405773313,2017-08-01 22:45:43
96124.0,892516726126120961,2017-08-01 22:45:44
96125.0,892516855277129729,2017-08-01 22:46:15
96126.0,892516862323458048,2017-08-01 22:46:16
96127.0,892516976131702785,2017-08-01 22:46:43
96128.0,892517088300081152,2017-08-01 22:47:10
96129.0,892517094830592001,2017-08-01 22:47:12
96130.0,892517179735896065,2017-08-01 22:47:32
96131.0,892517209930682368,2017-08-01 22:47:39
96132.0,892517343137607684,2017-08-01 22:48:11
96133.0,892517356358037508,2017-08-01 22:48:14
96134.0,892517376826236928,2017-08-01 22:48:19
96135.0,892517386276007937,2017-08-01 22:48:21
96136.0,892517438432178176,2017-08-01 22:48:34
96137.0,892517457574887425,2017-08-01 22:48:38
96138.0,892517456438321152,2017-08-01 22:48:38
96139.0,892517484695257088,2017-08-01 22:48:45
96140.0,892517603582889984,2017-08-01 22:49:13
96141.0,892517606917378048,2017-08-01 22:49:14
96142.0,892517665184649216,2017-08-01 22:49:28
96143.0,892517728057208832,2017-08-01 22:49:43
96144.0,892519895623139328,2017-08-01 22:58:19
96145.0,892556516942852100,2017-08-02 01:23:51
96146.0,892572680414691328,2017-08-02 02:28:04
96147.0,892579196383481856,2017-08-02 02:53:58
96148.0,892618879796523008,2017-08-02 05:31:39
96149.0,892492403311091712,2017-08-01 21:09:05
159464.0,962088077912166400,2018-02-09 22:17:27
159465.0,962088241896869888,2018-02-09 22:18:06
159466.0,962090470867439631,2018-02-09 22:26:57
159467.0,962090470867439631,2018-02-09 22:26:57
159468.0,962090866230943744,2018-02-09 22:28:31
159469.0,962091266216312834,2018-02-09 22:30:07
159470.0,962091543820632066,2018-02-09 22:31:13
159471.0,962091866408783873,2018-02-09 22:32:30
159472.0,962091866408783873,2018-02-09 22:32:30
159473.0,962095201694175232,2018-02-09 22:45:45
159474.0,962096042412949504,2018-02-09 22:49:06
159475.0,962099701662306306,2018-02-09 23:03:38
159476.0,962099952376778753,2018-02-09 23:04:38
159477.0,962100921613344769,2018-02-09 23:08:29
159478.0,962104515519483907,2018-02-09 23:22:46
159479.0,962106874106703872,2018-02-09 23:32:08
159480.0,962112980719718402,2018-02-09 23:56:24
159481.0,962115538330648576,2018-02-10 00:06:34
159482.0,962118550885367809,2018-02-10 00:18:32
159483.0,962128230093410305,2018-02-10 00:57:00
159484.0,962128230093410305,2018-02-10 00:57:00
159485.0,962159930349322240,2018-02-10 03:02:58
159486.0,962219470109294593,2018-02-10 06:59:33
